iter	Passed	Remaining
399	62903	62903
400	63104	62789
401	63290	62661
402	63511	62566
403	63731	62469
404	63942	62363
405	64146	62250
406	64367	62153
407	64586	62053
408	64790	61939
409	64999	61828
410	65203	61713
411	65440	61628
412	65640	61508
413	65867	61412
414	66083	61306
415	66332	61229
416	66586	61157
417	66861	61103
418	67172	61080
419	67423	61002
420	67634	60887
421	67850	60776
422	68050	60649
423	68244	60518
424	68449	60397
425	68721	60333
426	68955	60235
427	69170	60120
428	69374	59995
429	69580	59871
430	69768	59732
431	69960	59596
432	70176	59479
433	70388	59359
434	70575	59218
435	70793	59102
436	70973	58955
437	71188	58836
438	71395	58709
439	71614	58593
440	71811	58459
441	71995	58312
442	72207	58189
443	72382	58036
444	72586	57905
445	72736	57732
446	72944	57605
447	73122	57453
448	73284	57289
449	73436	57117
450	73575	56935
451	73728	56764
452	73883	56595
453	74006	56401
454	74155	56227
455	74314	56062
456	74487	55906
457	74613	55715
458	74760	55540
459	74913	55371
460	75101	55226
461	75303	55092
462	75488	54945
463	75652	54782
464	75816	54620
465	75986	54462
466	76165	54310
467	76344	54159
468	76524	54007
469	76706	53858
470	76908	53721
471	77100	53578
472	77282	53428
473	77466	53278
474	77661	53136
475	77840	52983
476	78015	52828
477	78191	52673
478	78394	52535
479	78580	52387
480	78790	52253
481	78974	52103
482	79139	51940
483	79288	51766
484	79417	51580
485	79562	51404
486	79694	51220
487	79822	51033
488	79948	50846
489	80091	50669
490	80267	50514
491	80420	50344
492	80574	50174
493	80755	50022
494	80940	49872
495	81133	49727
496	81294	49561
497	81458	49398
498	81585	49212
499	81716	49029
500	81885	48869
501	82029	48695
502	82203	48537
503	82363	48372
504	82768	48350
505	82974	48210
506	83133	48043
507	83309	47886
508	83459	47714
509	83629	47554
510	83801	47394
511	83970	47233
512	84131	47067
513	84345	46931
514	84552	46791
515	84948	46754
516	85125	46596
517	85274	46423
518	85434	46256
519	85613	46099
520	85832	45964
521	86066	45836
522	86289	45701
523	86487	45554
524	86673	45400
525	86870	45251
526	87105	45122
527	87325	44985
528	87522	44836
529	87743	44699
530	88077	44619
531	88303	44483
532	88475	44320
533	88687	44177
534	88884	44026
535	89063	43867
536	89246	43709
537	89438	43555
538	89619	43396
539	89781	43228
540	89957	43066
541	90165	42919
542	90331	42753
543	90509	42592
544	90705	42440
545	90859	42268
546	91022	42100
547	91198	41937
548	91358	41768
549	91506	41593
550	91743	41459
551	91926	41300
552	92075	41125
553	92209	40945
554	92339	40762
555	92490	40589
556	92634	40413
557	92759	40228
558	92910	40056
559	93051	39879
560	93189	39701
561	93343	39529
562	93508	39363
563	93650	39187
564	93801	39014
565	93935	38835
566	94084	38662
567	94233	38489
568	94366	38310
569	94520	38139
570	94641	37956
571	94770	37775
572	94935	37609
573	95091	37440
574	95261	37276
575	95426	37110
576	95605	36949
577	95777	36786
578	95976	36633
579	96146	36469
580	96452	36356
581	96659	36205
582	96859	36052
583	97101	35914
584	97320	35767
585	97630	35653
586	97872	35514
587	98106	35371
588	98318	35221
589	98532	35070
590	98708	34907
591	98907	34751
592	99101	34593
593	99293	34435
594	99523	34289
595	99707	34128
596	99878	33961
597	100098	33812
598	100313	33661
599	100472	33490
600	100688	33339
601	100887	33182
602	101079	33022
603	101283	32866
604	101456	32700
605	101646	32540
606	101845	32382
607	102088	32238
608	102342	32097
609	102561	31945
610	102765	31788
611	102989	31637
612	103208	31484
613	103418	31328
614	103613	31168
615	103815	31009
616	103978	30839
617	104152	30672
618	104348	30512
619	104550	30353
620	104745	30192
621	104942	30031
622	105130	29868
623	105281	29694
624	105473	29532
625	105643	29364
626	105805	29193
627	105966	29022
628	106110	28847
629	106257	28672
630	106402	28497
631	106557	28325
632	106731	28158
633	106913	27993
634	107063	27819
635	107227	27649
636	107434	27491
637	107627	27328
638	107960	27201
639	108105	27026
640	108247	26850
641	108390	26675
642	108543	26502
643	108688	26328
644	108845	26156
645	108998	25984
646	109176	25817
647	109358	25651
648	109519	25481
649	109683	25311
650	109873	25147
651	110044	24979
652	110239	24816
653	110420	24650
654	110611	24486
655	110781	24317
656	110958	24150
657	111140	23984
658	111326	23819
659	111485	23648
660	111646	23477
661	111832	23312
662	111990	23141
663	112166	22973
664	112335	22804
665	112498	22634
666	112658	22464
667	112823	22294
668	113011	22129
669	113195	21963
670	113399	21801
671	113571	21632
672	113817	21478
673	114021	21315
674	114190	21146
675	114366	20978
676	114527	20807
677	114699	20639
678	114887	20473
679	115108	20313
680	115274	20143
681	115481	19980
682	115665	19813
683	115816	19641
684	115988	19472
685	116168	19304
686	116358	19139
687	116588	18979
688	116785	18814
689	116946	18643
690	117205	18488
691	117414	18324
692	117651	18165
693	117843	17999
694	118053	17835
695	118249	17669
696	118443	17503
697	118612	17333
698	118773	17161
699	118941	16991
700	119126	16823
701	119343	16660
702	119501	16488
703	119674	16319
704	119838	16148
705	120033	15981
706	120219	15813
707	120377	15642
708	120552	15472
709	120699	15299
710	120839	15126
711	121100	14967
712	121307	14801
713	121506	14635
714	121707	14468
715	121903	14301
716	122083	14132
717	122256	13962
718	122414	13790
719	122580	13620
720	122768	13451
721	122932	13280
722	123113	13111
723	123302	12943
724	123454	12771
725	123680	12606
726	123878	12438
727	124066	12270
728	124253	12101
729	124431	11931
730	124702	11770
731	124927	11605
732	125129	11437
733	125311	11267
734	125499	11098
735	125663	10927
736	125848	10757
737	126023	10587
738	126178	10415
739	126392	10248
740	126582	10078
741	126785	9910
742	126977	9741
743	127145	9570
744	127306	9398
745	127496	9228
746	127734	9062
747	127939	8894
748	128164	8726
749	128357	8557
750	128574	8389
751	128801	8221
752	128956	8049
753	129216	7883
754	129462	7716
755	129661	7546
756	129868	7376
757	130128	7210
758	130297	7038
759	130989	6894
760	131298	6728
761	131538	6559
762	131805	6391
763	132031	6221
764	132332	6054
765	132689	5889
766	132937	5719
767	133285	5553
768	133582	5384
769	133849	5214
770	134100	5043
771	134311	4871
772	134557	4699
773	134878	4530
774	135160	4360
775	135404	4187
776	135740	4018
777	136006	3845
778	136206	3671
779	136406	3497
780	136597	3323
781	136809	3149
782	137018	2974
783	137216	2800
784	137410	2625
785	137591	2450
786	137757	2275
787	137931	2100
788	138168	1926
789	138426	1752
790	138642	1577
791	138910	1403
792	139140	1228
793	139426	1053
794	139613	878
795	139816	702
796	140036	527
797	140237	351
798	140456	175
799	140681	0
