iter	Logloss
191	0.6850639625
192	0.6849871913
193	0.6849675344
194	0.6849675344
195	0.6849162416
196	0.6849139829
197	0.6848425317
198	0.684816502
199	0.6847230083
200	0.6847177436
201	0.6846716684
202	0.684644032
203	0.684619417
204	0.6845586707
205	0.6845065429
206	0.6844317635
207	0.6843786374
208	0.6843260413
209	0.6842638856
210	0.6841814105
211	0.6841017553
212	0.6840876725
213	0.6840049191
214	0.6839295359
215	0.6838228764
216	0.6837365024
217	0.683678239
218	0.6836600544
219	0.6836257278
220	0.6836064841
221	0.6835671649
222	0.6834173951
223	0.6833858997
224	0.6833157471
225	0.6832521269
226	0.6831429326
227	0.6830981398
228	0.6829970838
229	0.6829653833
230	0.6828999399
231	0.6828431426
232	0.6827538809
233	0.6826930997
234	0.6826145027
235	0.6825442258
236	0.6824713814
237	0.6823613562
238	0.6823173921
239	0.6822248928
240	0.6821271188
241	0.6820864188
242	0.6820518521
243	0.6819815004
244	0.6819130294
245	0.6818407846
246	0.6817307569
247	0.6816597279
248	0.681629522
249	0.6815667476
250	0.6814839027
251	0.6813714002
252	0.6812883192
253	0.6812701133
254	0.6811828976
255	0.6811131367
256	0.6810321892
257	0.6808982146
258	0.6808255945
259	0.6807322111
260	0.6806078713
261	0.6804928067
262	0.6803694012
263	0.6802061624
264	0.6800558049
265	0.6800338781
266	0.6799941215
267	0.679939608
268	0.6798769396
269	0.6797559731
270	0.679702608
271	0.679642706
272	0.6795389072
273	0.6794072212
274	0.6792799186
275	0.6792242318
276	0.6791296674
277	0.6790828108
278	0.6790130334
279	0.6788789833
280	0.6787556812
281	0.6785749542
282	0.6784937843
283	0.678402859
284	0.678304425
285	0.6782429147
286	0.6780317687
287	0.6779428396
288	0.6779299601
289	0.6777459426
290	0.6775751585
291	0.6774108648
292	0.6773329913
293	0.6772168237
294	0.6771886527
295	0.677029112
296	0.6769083049
297	0.6767430124
298	0.6766125769
299	0.6764395397
300	0.6762457839
301	0.676218536
302	0.6761101151
303	0.6760397061
304	0.6759531168
305	0.6758545875
306	0.6757292734
307	0.6756632141
308	0.6755004962
309	0.6754464155
310	0.6753387892
311	0.6752544119
312	0.6751643557
313	0.6750300342
314	0.6748950643
315	0.6747966247
316	0.6747487943
317	0.674647019
318	0.6745101399
319	0.6743740668
320	0.6742669114
321	0.6742130081
322	0.6741898735
323	0.6741461739
324	0.6740098161
325	0.6738889222
326	0.6738767252
327	0.6738314727
328	0.6737403158
329	0.6736018197
330	0.6734553254
331	0.6733268841
332	0.673154546
333	0.6730669003
334	0.6729601178
335	0.6728735691
336	0.672756575
337	0.6726454879
338	0.6726236615
339	0.6725868418
340	0.6724932093
341	0.6724229289
342	0.6722874082
343	0.6722017335
344	0.6721217678
345	0.6720374889
346	0.6719517883
347	0.6718786259
348	0.6717049658
349	0.6715555851
350	0.6714995837
351	0.6713542001
352	0.6712623897
353	0.6711664014
354	0.6710748612
355	0.6709641741
356	0.6709007649
357	0.6708367576
358	0.670733729
359	0.6706885463
360	0.6706050435
361	0.6705306279
362	0.6703856384
363	0.6703235404
364	0.6702376721
365	0.6701270281
366	0.6700859601
367	0.6699763563
368	0.669866641
369	0.6698030977
370	0.6696889939
371	0.6696124007
372	0.6694381613
373	0.6694021623
374	0.6692815628
375	0.669169451
376	0.6690984735
377	0.6690494295
378	0.6689781787
379	0.6688959431
380	0.6687777814
381	0.6687332247
382	0.6686343834
383	0.6685492474
384	0.6684689246
385	0.6684072294
386	0.6683077448
387	0.6682426873
388	0.66817206
389	0.6681010584
390	0.6679971175
391	0.6679130518
392	0.6678901024
393	0.6677488548
394	0.6676506417
395	0.6675930681
396	0.6675193514
397	0.6674164689
398	0.6672936587
399	0.6671416104
400	0.6671095367
401	0.6669655752
402	0.6668586474
403	0.6667686773
404	0.6667431704
405	0.6666107776
406	0.6664676219
407	0.6663674733
408	0.6662783818
409	0.6661227666
410	0.6660331872
411	0.6658649746
412	0.6657004205
413	0.6656724061
414	0.6655563588
415	0.665510641
416	0.6654225219
417	0.6653391438
418	0.6652061453
419	0.6650641923
420	0.6649653068
421	0.6649192336
422	0.6648775674
423	0.6647781462
424	0.6646807979
425	0.6645491791
426	0.6644629921
427	0.6643697451
428	0.6643216587
429	0.664225192
430	0.6641367658
431	0.6640222604
432	0.6639797857
433	0.6638538737
434	0.6637518786
435	0.6636771658
436	0.6635995774
437	0.6635120341
438	0.6634173677
439	0.6633586131
440	0.6632573761
441	0.6631865971
442	0.6631496369
443	0.6630668753
444	0.6629381847
445	0.6628921376
446	0.6628569667
447	0.6627274305
448	0.6626820299
449	0.6626112164
450	0.6625303117
451	0.6624247673
452	0.66229025
453	0.6621957639
454	0.6620630469
455	0.662007587
456	0.6618778169
457	0.6617954208
458	0.6616915005
459	0.6615709128
460	0.6615035618
461	0.6614428018
462	0.6613396243
463	0.6612188418
464	0.6611403892
465	0.6609794526
466	0.6608582572
467	0.6607886938
468	0.6607527793
469	0.6606607154
470	0.6605933772
471	0.660442072
472	0.6603177026
473	0.6602336398
474	0.6601196914
475	0.6600631548
476	0.6600422156
477	0.6599336981
478	0.6598799662
479	0.6597762708
480	0.6597058672
481	0.6596356873
482	0.6595435439
483	0.6594575044
484	0.6593411476
485	0.6592704875
486	0.6591228783
487	0.6590072554
488	0.6589123105
489	0.6588529013
490	0.65882202
491	0.658681729
492	0.6586223851
493	0.6585821369
494	0.6585372167
495	0.6584542066
496	0.658345718
497	0.6583087475
498	0.6582407891
499	0.6581016673
500	0.6579984157
501	0.6578567893
502	0.65776022
503	0.6576926378
504	0.6576474835
505	0.6575122421
506	0.6574643862
507	0.6573875358
508	0.6572872786
509	0.6572403301
510	0.6571523518
511	0.6570643943
512	0.6569171501
513	0.6568632063
514	0.6568228276
515	0.656803526
516	0.6567451677
517	0.6566538455
518	0.6565861762
519	0.6565261183
520	0.6564750568
521	0.6563137218
522	0.6562621157
523	0.6561039198
524	0.6560133289
525	0.6558555326
526	0.6557800481
527	0.655712831
528	0.6556081768
529	0.6555070094
530	0.6553893172
531	0.6553237086
532	0.6552905135
533	0.6552319951
534	0.6551187646
535	0.6549910014
536	0.6549189509
537	0.6548981949
538	0.6548217996
539	0.6547441919
540	0.6546675617
541	0.654621918
542	0.6545401903
543	0.6543826455
544	0.6542955425
545	0.6541640326
546	0.654132841
547	0.6540075957
548	0.6539189803
549	0.6538427195
550	0.6537601422
551	0.6535675491
552	0.6535270362
553	0.6534682982
554	0.6533914429
555	0.653336924
556	0.6532512383
557	0.6531648883
558	0.6530747031
559	0.6529890732
560	0.652924343
561	0.6528247104
562	0.6527617054
563	0.6526303181
564	0.6525270858
565	0.6523854075
566	0.6523277009
567	0.652148028
568	0.6520985931
569	0.6519829317
570	0.651858361
571	0.6517891285
572	0.6517326682
573	0.6516584907
574	0.6515990695
575	0.6515471377
576	0.6514283026
577	0.6513251309
578	0.6512496122
579	0.6512055261
580	0.651102326
581	0.6510103927
582	0.6509425641
583	0.6508687806
584	0.650801131
585	0.65065113
586	0.6505547558
587	0.6504580605
588	0.650360017
589	0.6502707426
590	0.6501740809
591	0.6500574237
592	0.6499783847
593	0.6498652848
594	0.6498027085
595	0.6496814507
596	0.6496273796
597	0.6495290657
598	0.6494402071
599	0.6494137809
600	0.649368096
601	0.6493149991
602	0.6492398202
603	0.6490916582
604	0.6490555243
605	0.6490330833
606	0.6489314534
607	0.6488498355
608	0.6487335616
609	0.6486979648
610	0.648604605
611	0.6484956091
612	0.6483455566
613	0.6482467795
614	0.648125812
615	0.6480068553
616	0.6478464175
617	0.6476936134
618	0.6476399844
619	0.647574998
620	0.6475129755
621	0.6474558257
622	0.6473789429
623	0.6473171492
624	0.6471863232
625	0.647103395
626	0.6469805071
627	0.6469331593
628	0.6468059897
629	0.6466878575
630	0.6465384186
631	0.6464584593
632	0.6463985169
633	0.6463606907
634	0.6462645364
635	0.6461463754
636	0.6460181604
637	0.6458989354
638	0.6457773279
639	0.6456434456
640	0.6455535804
641	0.6454436725
642	0.6453538231
643	0.645293088
644	0.645244046
645	0.6451773446
646	0.6451369822
647	0.6451090856
648	0.6450562585
649	0.6449357088
650	0.644896452
651	0.6448001172
652	0.6446913442
653	0.6445892575
654	0.6445417233
655	0.6444980037
656	0.6443913448
657	0.6442973287
658	0.644250458
659	0.6442055979
660	0.644142214
661	0.6440591088
662	0.6440001875
663	0.6439325141
664	0.6438551418
665	0.6438071738
666	0.6437761828
667	0.6437236724
668	0.6436592183
669	0.6436267429
670	0.6435706987
671	0.6435196377
672	0.643424226
673	0.6433352985
674	0.6433098449
675	0.6432266166
676	0.6430949181
677	0.6429999828
678	0.6429227339
679	0.6428054542
680	0.6427253448
681	0.6425693369
682	0.6424750947
683	0.642423786
684	0.6423246725
685	0.6422199095
686	0.6421538409
687	0.6420268999
688	0.6419731631
689	0.6418779982
690	0.6417831564
691	0.6416995725
692	0.641614448
693	0.6415278737
694	0.6414941774
695	0.6414113991
696	0.6412880741
697	0.6412280376
698	0.6411171087
699	0.6410742474
700	0.6409976769
701	0.6409517073
702	0.6408001358
703	0.6407108225
704	0.6406308163
705	0.6405834516
706	0.6404715178
707	0.6403746975
708	0.640326572
709	0.6402968277
710	0.6402321189
711	0.6401195828
712	0.6400615024
713	0.639941956
714	0.6398777039
715	0.6397885071
716	0.6396990575
717	0.6396146145
718	0.6395101711
719	0.6394146679
720	0.6393367544
721	0.6391996293
722	0.6391755356
723	0.6391107104
724	0.6389557079
725	0.6389167212
726	0.6387857721
727	0.6387014917
728	0.6386557924
729	0.6386121113
730	0.6385536807
731	0.6385442971
732	0.6384279963
733	0.6383663504
734	0.6383000133
735	0.6382096447
736	0.6381284238
737	0.6380201876
738	0.6379084231
739	0.6377898725
740	0.6376691988
741	0.6376267756
742	0.6375719233
743	0.6375132908
744	0.6374014919
745	0.6372840296
746	0.6372472054
747	0.6371141684
748	0.6370472319
749	0.6369376433
750	0.6368464998
751	0.636777789
752	0.6367526336
753	0.6366641032
754	0.6365508851
755	0.6364221384
756	0.636371444
757	0.6363082556
758	0.63618898
759	0.6361116996
760	0.6360679356
761	0.6359982504
762	0.63591949
763	0.6357980675
764	0.6357422816
765	0.6356897911
766	0.6356369703
767	0.6355783467
768	0.63553696
769	0.635429095
770	0.635379672
771	0.6352379381
772	0.6351736908
773	0.6351209638
774	0.6350008636
775	0.6348548372
776	0.6347691108
777	0.634640893
778	0.6345740032
779	0.6344624698
780	0.6343747389
781	0.634270277
782	0.6341645863
783	0.6341057909
784	0.6340294215
785	0.6339420115
786	0.6338811899
787	0.6338071947
788	0.6336617084
789	0.6335977328
790	0.6335349068
791	0.6334860369
792	0.633381789
793	0.6332951858
794	0.6331757052
795	0.6330459701
796	0.6329006067
797	0.6328004045
798	0.6327170876
799	0.6326184008
